Entity,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Country
North Tirana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Albania MC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Albania
Babez,16.76%,0.0%,0.0%,0.0%,22.45%,9.72%,20.69%,12.29%,0.0%,0.0%,0.0%,12.24%,8.33%,17.24%,1.68%,0.0%,0.0%,0.0%,2.04%,1.39%,1.72%,17.32,0.0%,0.0%,0.0%,6.12%,16.67%,27.59%,3.35,0.0%,0.0%,0.0%,4.08%,2.78%,3.45%,Algeria
Bejaia,17.31%,0.0%,0.0%,0.0%,33.33%,10.0%,7.14%,3.85%,0.0%,0.0%,0.0%,5.56%,5.0%,0.0%,1.92%,0.0%,0.0%,0.0%,0.0%,0.0%,7.14%,5.77,0.0%,0.0%,0.0%,0.0%,5.0%,14.29%,1.92,0.0%,0.0%,0.0%,0.0%,5.0%,0.0%,Algeria
Benak,19.05%,0.0%,0.0%,0.0%,25.64%,11.43%,19.35%,13.33%,0.0%,0.0%,0.0%,17.95%,5.71%,16.13%,3.81%,0.0%,0.0%,0.0%,2.56%,2.86%,6.45%,17.14,0.0%,0.0%,0.0%,7.69%,22.86%,22.58%,2.86,0.0%,0.0%,0.0%,0.0%,5.71%,3.23%,Algeria
Blida,13.76%,0.0%,0.0%,0.0%,17.95%,0.0%,28.57%,4.59%,0.0%,0.0%,0.0%,2.56%,0.0%,14.29%,3.67%,0.0%,0.0%,0.0%,0.0%,0.0%,14.29%,13.76,0.0%,0.0%,0.0%,0.0%,11.9%,35.71%,0.92,0.0%,0.0%,0.0%,0.0%,0.0%,3.57%,Algeria
Constantine,14.01%,0.0%,0.0%,0.0%,18.0%,4.0%,19.3%,9.55%,0.0%,0.0%,0.0%,12.0%,4.0%,12.28%,3.18%,0.0%,0.0%,0.0%,4.0%,2.0%,3.51%,9.55,0.0%,0.0%,0.0%,8.0%,10.0%,10.53%,2.55,0.0%,0.0%,0.0%,8.0%,0.0%,0.0%,Algeria
Oran,19.6%,0.0%,0.0%,0.0%,28.07%,10.67%,22.39%,14.57%,0.0%,0.0%,0.0%,17.54%,10.67%,16.42%,4.52%,0.0%,0.0%,0.0%,1.75%,6.67%,4.48%,10.05,0.0%,0.0%,0.0%,1.75%,6.67%,20.9%,1.01,0.0%,0.0%,0.0%,1.75%,0.0%,1.49%,Algeria
Ouargla,6.25%,0.0%,0.0%,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.25%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,31.25,0.0%,0.0%,0.0%,25.0%,33.33%,33.33%,6.25,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,Algeria
Tlemcen,12.5%,0.0%,0.0%,0.0%,20.0%,0.0%,15.79%,12.5%,0.0%,0.0%,0.0%,20.0%,0.0%,15.79%,6.25%,0.0%,0.0%,0.0%,0.0%,7.14%,10.53%,8.33,0.0%,0.0%,0.0%,0.0%,0.0%,21.05%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Algeria
Andorra La Vella,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Andorra
Neuquén,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
La Plata,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Santiago del Estero,17.65%,18.75%,0.0%,0.0%,0.0%,0.0%,0.0%,11.76%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Santa Fe,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires USAL,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,0.0%,200.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Córdoba,28.57%,0.0%,0.0%,0.0%,0.0%,28.57%,0.0%,28.57%,0.0%,0.0%,0.0%,0.0%,28.57%,0.0%,14.29%,0.0%,0.0%,0.0%,0.0%,14.29%,0.0%,14.29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
MC Argentina,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.26%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.11,0.0%,0.0%,0.0%,0.0%,18.75%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Buenos Aires UBA FCE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Mendoza,41.79%,48.15%,0.0%,0.0%,100.0%,0.0%,0.0%,25.37%,29.63%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.97,3.7%,0.0%,0.0%,0.0%,10.0%,0.0%,2.99,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Entre Ríos,32.14%,34.62%,0.0%,0.0%,0.0%,0.0%,0.0%,17.86%,19.23%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.57,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Rosario (Argentina),23.08%,22.86%,0.0%,0.0%,50.0%,20.0%,0.0%,11.54%,8.57%,0.0%,0.0%,50.0%,13.33%,0.0%,15.38%,17.14%,0.0%,0.0%,0.0%,13.33%,0.0%,19.23,22.86%,0.0%,0.0%,0.0%,13.33%,0.0%,13.46,17.14%,0.0%,0.0%,0.0%,6.67%,0.0%,Argentina
San Juan Argentina,54.76%,61.76%,0.0%,0.0%,50.0%,0.0%,0.0%,21.43%,26.47%,0.0%,0.0%,0.0%,0.0%,0.0%,2.38%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,16.67,8.82%,0.0%,0.0%,25.0%,75.0%,0.0%,2.38,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,Argentina
Bahía Blanca,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Tucumán,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
Salta,25.26%,28.24%,0.0%,0.0%,0.0%,0.0%,0.0%,15.79%,17.65%,0.0%,0.0%,0.0%,0.0%,0.0%,1.05%,1.18%,0.0%,0.0%,0.0%,0.0%,0.0%,4.21,3.53%,0.0%,0.0%,100.0%,0.0%,0.0%,2.11,2.35%,0.0%,0.0%,0.0%,0.0%,0.0%,Argentina
YEREVAN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Armenia
Murdoch University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Edith Cowan University,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Deakin University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - AIESEC in Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Queensland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - AIESEC in Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Adelaide,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Technology Sydney,80.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,20.0,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,Australia
Macquarie University,100.0%,0.0%,0.0%,0.0%,150.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.67,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Australia
University of Sydney,44.44%,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,11.11%,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,55.56,0.0%,0.0%,0.0%,71.43%,0.0%,0.0%,55.56,0.0%,0.0%,0.0%,71.43%,0.0%,0.0%,Australia
Monash University,75.0%,0.0%,0.0%,0.0%,85.71%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,28.57%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5,0.0%,0.0%,0.0%,42.86%,0.0%,0.0%,12.5,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,Australia
University of New South Wales (UNSW),50.0%,0.0%,0.0%,0.0%,53.85%,0.0%,0.0%,7.14%,0.0%,0.0%,0.0%,7.69%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.57,0.0%,0.0%,0.0%,30.77%,0.0%,0.0%,21.43,0.0%,0.0%,0.0%,23.08%,0.0%,0.0%,Australia
Central Sydney,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Murdoch University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Queensland University of Technology,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
South Australia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Edith Cowan University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Western Australia,50.0%,0.0%,0.0%,0.0%,60.0%,0.0%,0.0%,16.67%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
University of Melbourne,75.0%,0.0%,0.0%,0.0%,85.71%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,28.57%,0.0%,0.0%,6.25%,0.0%,0.0%,0.0%,7.14%,0.0%,0.0%,37.5,0.0%,0.0%,0.0%,42.86%,0.0%,0.0%,25.0,0.0%,0.0%,0.0%,28.57%,0.0%,0.0%,Australia
Australian National University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
D - Australian Catholic University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Curtin University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
Royal Melbourne Institute of Technology,25.0%,0.0%,0.0%,0.0%,26.67%,0.0%,0.0%,6.25%,0.0%,0.0%,0.0%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
MC Australia,51.06%,0.0%,51.06%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.09,0.0%,18.09%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Australia
LINZ,2.94%,0.0%,0.0%,1.69%,0.0%,14.29%,0.0%,2.94%,0.0%,0.0%,1.69%,0.0%,14.29%,0.0%,1.47%,0.0%,0.0%,0.0%,0.0%,14.29%,0.0%,2.94,0.0%,0.0%,0.0%,0.0%,14.29%,0.0%,1.47,0.0%,0.0%,0.0%,0.0%,14.29%,0.0%,Austria
VIENNA TU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
VIENNA UV,5.49%,8.7%,0.0%,0.0%,0.0%,14.29%,0.0%,4.4%,6.52%,0.0%,0.0%,0.0%,14.29%,0.0%,2.2%,2.17%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2,2.17%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
VIENNA WU,3.86%,1.75%,1.89%,0.0%,83.33%,0.0%,0.0%,3.0%,1.75%,1.89%,0.0%,50.0%,0.0%,0.0%,0.43%,0.0%,0.63%,0.0%,0.0%,0.0%,0.0%,1.72,0.0%,1.89%,0.0%,16.67%,0.0%,0.0%,0.86,0.0%,1.26%,0.0%,0.0%,0.0%,0.0%,Austria
AUSTRIA MC,6.03%,0.0%,6.03%,0.0%,0.0%,0.0%,0.0%,2.59%,0.0%,2.59%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.72,0.0%,1.72%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
GRAZ,37.5%,0.0%,0.0%,0.0%,100.0%,16.67%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
INNSBRUCK,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Austria
Baku Qafqaz,52.05%,12.5%,0.0%,0.0%,89.19%,12.5%,25.0%,46.58%,8.33%,0.0%,0.0%,81.08%,12.5%,25.0%,4.11%,0.0%,0.0%,0.0%,2.7%,12.5%,25.0%,6.85,0.0%,0.0%,0.0%,2.7%,12.5%,75.0%,1.37,0.0%,0.0%,0.0%,2.7%,0.0%,0.0%,Azerbaijan
Baku Synergy,24.24%,13.74%,0.0%,0.0%,57.33%,0.0%,0.0%,20.54%,10.43%,0.0%,0.0%,50.67%,0.0%,0.0%,1.01%,0.0%,0.0%,0.0%,2.67%,0.0%,0.0%,1.68,0.0%,0.0%,0.0%,2.67%,9.09%,0.0%,0.67,0.0%,0.0%,0.0%,2.67%,0.0%,0.0%,Azerbaijan
